run_id,status
M1_C3_KP6_T2_B_r09,no_figure_path
M2_C1_KP6_T2_B_r09,ok
M3_C2_KP6_T2_can_r09,ok
M2_C2_KP6_T2_can_r09,ok
M1_C4_KP6_T2_can_r09,ok
M3_C1_KP6_T2_B_r09,ok
M3_C4_KP6_T2_can_r09,ok
M2_C4_KP6_T2_can_r09,ok
M2_C3_KP6_T2_B_r09,ok
M3_C3_KP6_T2_B_r09,ok
M1_C1_KP1_T2_B_r10,ok
M1_C2_KP1_T2_can_r10,ok
M1_C3_KP1_T2_B_r10,ok
M3_C1_KP1_T2_B_r10,ok
M1_C4_KP1_T2_can_r10,ok
M2_C3_KP1_T2_B_r10,ok
M2_C1_KP1_T2_B_r10,ok
M3_C4_KP1_T2_can_r10,no_code
